RecordID,Season,Team,Conference,Overall Seed,Bid Type,NET Rank,PrevNET,AvgOppNETRank,AvgOppNET,Win ,Loss,Conf W,Conf L,Non-Con W,Non-Con L,Road W,Road L,NETSOS,NETNonConfSOS,Q1 Win,Q1 Loss,Q2 Win,Q2 Loss,Q3 Win,Q3 Loss,Quadrant4,
2020-21-UCDavis,2020-21,UC Davis,Big West,,,223,224,240,211,9,8,7,5,2,3,4,3,264,287,0,0,0,3,1,2,8,3
2020-21-MichiganSt.,2020-21,Michigan St.,Big Ten,43,AL,70,70,20,75,15,12,9,12,6,1,3,8,9,238,5,10,4,2,2,1,4,1
2020-21-ULM,2020-21,ULM,Sun Belt,,,292,292,244,214,7,19,5,14,2,5,2,10,313,263,0,0,0,1,2,7,5,11
2020-21-CentralConn.St.,2020-21,Central Conn. St.,NEC,,,301,301,200,195,5,16,5,13,0,3,2,9,242,54,0,1,0,2,2,6,3,7
2020-21-Colgate,2020-21,Colgate,Patriot,57,AQ,9,9,154,169,14,1,14,1,0,0,6,1,257,,0,0,2,1,6,1,6,1
2020-21-McNeese,2020-21,McNeese,Southland,,,336,336,346,279,4,14,4,11,0,3,3,8,343,204,0,0,0,1,0,3,4,10
2020-21-Virginia,2020-21,Virginia,ACC,16,AL,12,12,57,100,18,6,14,4,4,2,6,3,49,147,5,4,4,1,5,1,4,1
2020-21-EasternWash.,2020-21,Eastern Wash.,Big Sky,58,AQ,114,113,252,216,15,7,15,3,0,4,6,5,217,12,0,3,0,1,4,1,11,2
2020-21-UTArlington,2020-21,UT Arlington,Sun Belt,,,246,246,235,208,10,13,9,9,1,4,3,8,225,33,0,2,0,2,0,5,10,4
2020-21-Vermont,2020-21,Vermont,America East,,,115,116,304,232,10,5,10,5,0,0,4,2,335,,0,0,0,0,2,2,8,3
2020-21-Indiana,2020-21,Indiana,Big Ten,,,63,63,5,65,12,15,7,13,5,2,3,7,4,74,2,12,6,2,2,1,2,1
2020-21-A&M-CorpusChristi,2020-21,A&M-Corpus Christi,Southland,,,339,339,270,219,2,19,2,13,0,6,1,10,218,141,0,3,0,1,0,5,2,10
2020-21-Canisius,2020-21,Canisius,MAAC,,,207,207,270,219,7,6,7,6,0,0,4,4,314,,0,0,0,0,1,3,6,3
2020-21-William&Mary,2020-21,William & Mary,CAA,,,275,275,190,191,7,10,5,7,2,3,5,6,193,160,0,1,1,2,0,5,6,2
2020-21-UCRiverside,2020-21,UC Riverside,Big West,,,109,109,204,196,14,8,9,5,5,3,7,3,221,231,0,1,1,2,4,3,9,2
2020-21-Mercer,2020-21,Mercer,SoCon,,,117,118,139,159,15,11,11,10,4,1,6,6,168,167,1,1,1,5,6,5,7,1
2020-21-FIU,2020-21,FIU,CUSA,,,295,295,195,193,5,17,2,15,3,2,2,9,250,317,0,0,0,2,2,8,3,7
2020-21-NewOrleans,2020-21,New Orleans,Southland,,,293,293,341,257,9,15,9,8,0,7,2,10,320,189,0,1,0,0,0,6,9,8
2020-21-Duquesne,2020-21,Duquesne,Atlantic 10,,,131,132,111,141,9,9,8,8,1,1,2,5,110,212,0,4,2,2,3,1,4,2
2020-21-Penn,2020-21,Penn,Ivy League,,,,,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0
2020-21-Pacific,2020-21,Pacific,WCC,,,132,131,91,126,8,9,6,8,2,1,2,6,72,210,0,5,0,3,4,1,4,1
2020-21-SaintJoseph's,2020-21,Saint Joseph's,Atlantic 10,,,221,221,59,101,5,15,4,10,1,5,1,9,67,13,1,5,0,7,1,3,3,1
2020-21-ArkansasSt.,2020-21,Arkansas St.,Sun Belt,,,241,241,252,216,8,13,8,9,0,4,1,9,274,88,0,1,0,2,1,4,7,6
2020-21-GeorgiaTech,2020-21,Georgia Tech,ACC,34,AQ,34,33,49,95,17,8,13,6,4,2,4,5,48,236,3,6,6,1,5,2,3,1
2020-21-Bellarmine,2020-21,Bellarmine,ASUN,,,181,181,328,243,11,7,10,4,1,3,7,2,306,117,0,1,0,1,0,2,11,3
2020-21-Col.ofCharleston,2020-21,Col. of Charleston,CAA,,,219,219,168,175,7,10,6,5,1,5,1,3,212,151,0,1,0,2,3,5,4,2
2020-21-TCU,2020-21,TCU,Big 12,,,141,141,69,107,12,14,5,12,7,2,3,6,39,220,2,10,1,1,4,2,5,1
2020-21-TennesseeSt.,2020-21,Tennessee St.,OVC,,,323,323,288,223,3,19,3,17,0,2,0,11,301,292,0,0,0,2,0,8,3,9
2020-21-UConn,2020-21,UConn,Big East,26,AL,30,30,46,93,15,7,12,7,3,1,6,3,60,128,4,4,3,3,5,1,3,1
2020-21-ColoradoSt.,2020-21,Colorado St.,Mountain West,,,51,51,142,162,17,6,15,5,2,1,4,4,115,168,2,4,1,2,4,1,10,1
2020-21-Stetson,2020-21,Stetson,ASUN,,,266,266,279,221,9,13,8,10,1,3,3,8,269,125,0,1,0,1,2,5,7,6
2020-21-WestVirginia,2020-21,West Virginia,Big 12,10,AL,24,23,15,73,18,9,11,7,7,2,7,2,18,31,7,7,3,2,6,1,2,1
2020-21-SouthCarolinaSt.,2020-21,South Carolina St.,MEAC,,,345,345,312,234,1,17,1,7,0,10,0,11,249,190,0,2,0,1,0,4,1,10
2020-21-SouthCarolina,2020-21,South Carolina,SEC,,,142,142,15,73,6,15,4,13,2,2,2,7,23,59,1,7,1,7,3,1,1,1
2020-21-Vanderbilt,2020-21,Vanderbilt,SEC,,,102,102,51,96,9,16,4,14,5,2,2,8,40,230,0,10,3,5,2,1,4,1
2020-21-Rutgers,2020-21,Rutgers,Big Ten,40,AL,38,38,5,65,15,11,11,11,4,1,4,6,10,256,4,9,6,2,3,1,2,1
2020-21-BYU,2020-21,BYU,WCC,23,AL,20,20,75,112,19,6,11,4,8,2,7,2,53,65,3,4,5,2,6,1,5,1
2020-21-UMES,2020-21,UMES,MEAC,,,,,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0
2020-21-Buffalo,2020-21,Buffalo,MAC,,,79,80,160,171,15,8,14,6,1,2,5,3,182,113,0,1,1,3,6,4,8,1
2020-21-Furman,2020-21,Furman,SoCon,,,75,75,140,160,13,9,10,6,3,3,5,7,145,96,0,2,1,4,7,3,5,1
2020-21-SanJoseSt.,2020-21,San Jose St.,Mountain West,,,332,332,119,150,3,16,3,14,0,2,0,8,85,133,0,7,0,2,0,3,3,4
